id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_farm_parallel","Farm_parallel → _fetch_bing_suggestions","Farm_parallel → _fetch_bing_suggestions","cross_community",5,"['comm_5','comm_11']","Function:farm/search.py:farm_parallel","Function:farm/query.py:_fetch_bing_suggestions"
"proc_1_farm_single_profile","Farm_single_profile → _create_chain_queries","Farm_single_profile → _create_chain_queries","cross_community",5,"['comm_2','comm_5','comm_11']","Function:multi_profile_launcher.py:farm_single_profile","Function:farm/query.py:_create_chain_queries"
"proc_2_farm_single_profile","Farm_single_profile → _create_random_query","Farm_single_profile → _create_random_query","cross_community",5,"['comm_2','comm_5','comm_11']","Function:multi_profile_launcher.py:farm_single_profile","Function:farm/query.py:_create_random_query"
"proc_3_detailed_search","Detailed_search → _fetch_bing_suggestions","Detailed_search → _fetch_bing_suggestions","cross_community",5,"['comm_5','comm_11']","Function:launcher_gui.py:detailed_search","Function:farm/query.py:_fetch_bing_suggestions"
"proc_4_main","Main → _kill_zombie_edge","Main → _kill_zombie_edge","intra_community",5,"['comm_2']","Function:multi_profile_launcher.py:main","Function:farm/driver.py:_kill_zombie_edge"
"proc_5_farming_worker","Farming_worker → Load_history","Farming_worker → Load_history","cross_community",4,"['comm_4','comm_6']","Function:launcher_gui.py:farming_worker","Function:farm/history.py:load_history"
"proc_6_farm_parallel","Farm_parallel → _create_chain_queries","Farm_parallel → _create_chain_queries","cross_community",4,"['comm_5','comm_11']","Function:farm/search.py:farm_parallel","Function:farm/query.py:_create_chain_queries"
"proc_7_farm_parallel","Farm_parallel → _create_random_query","Farm_parallel → _create_random_query","cross_community",4,"['comm_5','comm_11']","Function:farm/search.py:farm_parallel","Function:farm/query.py:_create_random_query"
"proc_8_run_single_profile","Run_single_profile → _kill_zombie_edge","Run_single_profile → _kill_zombie_edge","cross_community",4,"['comm_10','comm_2']","Function:farm_rewards.py:run_single_profile","Function:farm/driver.py:_kill_zombie_edge"
"proc_9_run_single_profile","Run_single_profile → Random_sleep","Run_single_profile → Random_sleep","intra_community",4,"['comm_10']","Function:farm_rewards.py:run_single_profile","Function:farm/utils.py:random_sleep"
"proc_10_farm_single_profile","Farm_single_profile → Random_sleep","Farm_single_profile → Random_sleep","cross_community",4,"['comm_2','comm_10']","Function:multi_profile_launcher.py:farm_single_profile","Function:farm/utils.py:random_sleep"
"proc_11_detailed_search","Detailed_search → _create_chain_queries","Detailed_search → _create_chain_queries","cross_community",4,"['comm_5','comm_11']","Function:launcher_gui.py:detailed_search","Function:farm/query.py:_create_chain_queries"
"proc_12_detailed_search","Detailed_search → _create_random_query","Detailed_search → _create_random_query","cross_community",4,"['comm_5','comm_11']","Function:launcher_gui.py:detailed_search","Function:farm/query.py:_create_random_query"
"proc_13_main","Main → Get_edge_version","Main → Get_edge_version","intra_community",4,"['comm_2']","Function:multi_profile_launcher.py:main","Function:farm/driver.py:get_edge_version"
"proc_14_main","Main → Random_sleep","Main → Random_sleep","cross_community",4,"['comm_2','comm_10']","Function:multi_profile_launcher.py:main","Function:farm/utils.py:random_sleep"
"proc_15_main","Main → Take_screenshot","Main → Take_screenshot","cross_community",4,"['comm_2','comm_5','comm_10']","Function:multi_profile_launcher.py:main","Function:farm/utils.py:take_screenshot"
"proc_16_main","Main → Simulate_typing","Main → Simulate_typing","cross_community",4,"['comm_2','comm_5']","Function:multi_profile_launcher.py:main","Function:farm/utils.py:simulate_typing"
"proc_17_main","Main → Check_and_recover_oom","Main → Check_and_recover_oom","cross_community",4,"['comm_2','comm_10','comm_5']","Function:multi_profile_launcher.py:main","Function:farm/utils.py:check_and_recover_oom"
"proc_18_main","Main → Human_scroll","Main → Human_scroll","cross_community",4,"['comm_2','comm_10','comm_5']","Function:multi_profile_launcher.py:main","Function:farm/utils.py:human_scroll"
"proc_19_farm_parallel","Farm_parallel → Check_and_recover_oom","Farm_parallel → Check_and_recover_oom","intra_community",3,"['comm_5']","Function:farm/search.py:farm_parallel","Function:farm/utils.py:check_and_recover_oom"
